Date,Adj Close
5/30/2007,43.93
6/1/2007,44.12
7/2/2007,44.3
8/1/2007,44.49
9/4/2007,44.57
10/1/2007,44.75
11/1/2007,44.92
12/3/2007,45.03
1/2/2008,45.21
2/1/2008,45.28
3/3/2008,45.39
4/1/2008,45.36
5/1/2008,45.4
6/2/2008,45.51
7/1/2008,45.59
8/1/2008,45.63
9/2/2008,45.86
10/1/2008,45.75
11/3/2008,45.73
12/1/2008,45.74
1/2/2009,45.83
2/2/2009,45.83
3/2/2009,45.83
4/1/2009,45.86
5/1/2009,45.86
6/1/2009,45.86
7/1/2009,45.83
8/3/2009,45.86
9/1/2009,45.87
10/1/2009,45.87
11/2/2009,45.85
12/1/2009,45.87
1/4/2010,45.87
2/1/2010,45.86
3/1/2010,45.86
4/1/2010,45.84
5/3/2010,45.86
6/1/2010,45.87
7/1/2010,45.85
8/2/2010,45.85
9/1/2010,45.85
10/1/2010,45.86
11/1/2010,45.86
12/1/2010,45.85
1/3/2011,45.85
2/1/2011,45.85
3/1/2011,45.85
4/1/2011,45.85
5/2/2011,45.86
6/1/2011,45.86
7/1/2011,45.86
8/1/2011,45.86
9/1/2011,45.85
10/3/2011,45.83
11/1/2011,45.84
12/1/2011,45.83
1/3/2012,45.82
2/1/2012,45.83
3/1/2012,45.82
4/2/2012,45.83
5/1/2012,45.83
6/1/2012,45.81
7/2/2012,45.81
8/1/2012,45.81
9/4/2012,45.81
10/1/2012,45.82
11/1/2012,45.81
12/3/2012,45.81
1/2/2013,45.81
2/1/2013,45.81
3/1/2013,45.81
4/1/2013,45.8
5/1/2013,45.81
6/3/2013,45.8
7/1/2013,45.8
8/1/2013,45.8
9/3/2013,45.79
10/1/2013,45.78
11/1/2013,45.77
12/2/2013,45.77
1/2/2014,45.77
2/3/2014,45.78
3/3/2014,45.77
4/1/2014,45.77
5/1/2014,45.77
6/2/2014,45.76
7/1/2014,45.75
8/1/2014,45.76
9/2/2014,45.76
