Date,Adj Close
9/29/2003,68.68
10/1/2003,68.03
11/3/2003,68.26
12/1/2003,68.93
1/2/2004,69.23
2/2/2004,70.02
3/1/2004,70.5
4/1/2004,68.52
5/3/2004,68.26
6/1/2004,68.76
7/1/2004,69.4
8/2/2004,70.52
9/1/2004,70.89
10/1/2004,71.5
11/1/2004,70.97
12/1/2004,71.54
1/3/2005,71.89
2/1/2005,71.62
3/1/2005,70.92
4/1/2005,72.14
5/2/2005,72.74
6/1/2005,73.38
7/1/2005,72.62
8/1/2005,73.48
9/1/2005,72.79
10/3/2005,72.07
11/1/2005,72.34
12/1/2005,73.16
1/3/2006,73.11
2/1/2006,73.23
3/1/2006,72.6
4/3/2006,72.49
5/1/2006,72.34
6/1/2006,72.23
7/3/2006,73.23
8/1/2006,74.4
9/1/2006,75.15
10/2/2006,75.66
11/1/2006,76.47
12/1/2006,76.01
1/3/2007,75.95
2/1/2007,77.19
3/1/2007,77.04
4/2/2007,77.49
5/1/2007,76.78
6/1/2007,76.49
7/2/2007,77.31
8/1/2007,78.3
9/4/2007,78.8
10/1/2007,79.59
11/1/2007,81.03
12/3/2007,81.02
1/2/2008,82.89
2/1/2008,82.76
3/3/2008,82.87
4/1/2008,83.14
5/1/2008,82.09
6/2/2008,81.94
7/1/2008,82.26
8/1/2008,82.87
9/2/2008,81.41
10/1/2008,79.55
11/3/2008,81.96
12/1/2008,87.42
1/2/2009,85.68
2/2/2009,84.78
3/2/2009,85.72
4/1/2009,86.16
5/1/2009,86.77
6/1/2009,87.13
7/1/2009,88.24
8/3/2009,89.32
9/1/2009,90.38
10/1/2009,90.58
11/2/2009,91.74
12/1/2009,90.02
1/4/2010,91.29
2/1/2010,91.47
3/1/2010,91.47
4/1/2010,92.36
5/3/2010,93.36
6/1/2010,95.01
7/1/2010,95.82
8/2/2010,97.05
9/1/2010,97.06
10/1/2010,97.21
11/1/2010,96.39
12/1/2010,95.74
1/3/2011,95.66
2/1/2011,95.94
3/1/2011,95.73
4/1/2011,97.23
5/2/2011,98.43
6/1/2011,97.99
7/1/2011,99.65
8/1/2011,101.16
9/1/2011,101.94
10/3/2011,102.07
11/1/2011,101.73
12/1/2011,103.11
1/3/2012,103.86
2/1/2012,103.85
3/1/2012,103.25
4/2/2012,104.19
5/1/2012,105.31
6/1/2012,105.29
7/2/2012,106.72
8/1/2012,106.72
9/4/2012,107.01
10/1/2012,106.96
11/1/2012,107.25
12/3/2012,106.98
1/2/2013,106.32
2/1/2013,106.95
3/1/2013,107.05
4/1/2013,108.09
5/1/2013,105.93
6/3/2013,104.27
7/1/2013,104.55
8/1/2013,103.69
9/3/2013,104.85
10/1/2013,105.72
11/1/2013,105.46
12/2/2013,104.87
1/2/2014,106.48
2/3/2014,106.89
3/3/2014,106.73
4/1/2014,107.6
5/1/2014,108.87
6/2/2014,108.81
7/1/2014,108.54
8/1/2014,109.79
9/2/2014,108.83
