Date,Adj Close
5/31/2000,73.81
6/30/2000,70.92
7/31/2000,77.62
8/31/2000,70.42
9/30/2000,66.7
10/31/2000,56.82
11/30/2000,55.25
12/31/2000,59.29
1/31/2001,48.77
2/28/2001,43.42
3/31/2001,49.03
4/30/2001,48.4
5/31/2001,47.76
6/30/2001,46.03
7/31/2001,42.26
8/31/2001,38.09
9/30/2001,40.11
10/31/2001,43.84
11/30/2001,43.74
12/31/2001,42.89
1/31/2002,41.34
2/28/2002,42.7
3/31/2002,39.14
4/30/2002,38.12
5/31/2002,34.6
6/30/2002,32.79
7/31/2002,32.75
8/31/2002,29.56
9/30/2002,32.05
10/31/2002,33.89
11/30/2002,31.44
12/31/2002,30.66
1/31/2003,30.59
2/28/2003,31.07
3/31/2003,33.49
4/30/2003,35.24
5/31/2003,35.65
6/30/2003,36.53
7/31/2003,37.41
8/31/2003,37.07
9/30/2003,39.06
10/31/2003,39.42
11/30/2003,40.92
12/31/2003,41.82
1/31/2004,42.06
2/29/2004,41.25
3/31/2004,40.79
4/30/2004,41.59
5/31/2004,41.97
6/30/2004,39.77
7/31/2004,39.34
8/31/2004,39.74
9/30/2004,40.28
10/31/2004,41.87
11/30/2004,43.44
12/31/2004,41.96
1/31/2005,42.46
2/28/2005,41.54
3/31/2005,40.78
4/30/2005,42.82
5/31/2005,42.62
6/30/2005,44.78
7/31/2005,44.13
8/31/2005,44.33
9/30/2005,43.72
10/31/2005,45.75
11/30/2005,45.5
12/31/2005,46.11
1/31/2006,46.23
2/28/2006,47.15
3/31/2006,47.02
4/30/2006,45.29
5/31/2006,45.22
6/30/2006,44.29
7/31/2006,45.56
8/31/2006,46.84
9/30/2006,48.54
10/31/2006,49.47
11/30/2006,49.56
12/31/2006,50.86
1/31/2007,49.94
2/28/2007,50.26
3/31/2007,52.57
4/30/2007,54.5
5/31/2007,53.59
6/30/2007,52.83
7/31/2007,53.48
8/31/2007,55.99
9/30/2007,57.61
10/31/2007,55.63
11/30/2007,55.26
12/31/2007,50.89
1/31/2008,50.05
2/29/2008,49.63
3/31/2008,52.38
4/30/2008,54.11
5/31/2008,50.36
6/30/2008,49.35
7/31/2008,49.99
8/31/2008,44.52
9/30/2008,36.62
10/31/2008,33.53
11/30/2008,34.14
12/31/2008,32.39
1/31/2009,29.96
2/28/2009,32.45
3/31/2009,35.75
4/30/2009,37.61
5/31/2009,37.96
6/30/2009,40.71
7/31/2009,41.5
8/31/2009,43.18
9/30/2009,42.63
10/31/2009,45.28
11/30/2009,46.66
12/31/2009,44.57
1/31/2010,46.12
2/28/2010,48.78
3/31/2010,49.3
4/30/2010,45.52
5/31/2010,43.03
6/30/2010,46.11
7/31/2010,43.96
8/31/2010,48.6
9/30/2010,50.98
10/31/2010,51.56
11/30/2010,54.37
12/31/2010,55.69
1/31/2011,57.59
2/28/2011,57.6
3/31/2011,59.49
4/30/2011,58.84
5/31/2011,57.99
6/30/2011,57.44
7/31/2011,54.36
8/31/2011,50.41
9/30/2011,55.86
10/31/2011,55.8
11/30/2011,55.64
12/31/2011,59
1/31/2012,61.78
2/29/2012,63.81
3/31/2012,63.73
4/30/2012,59.64
5/31/2012,61.28
6/30/2012,61.95
7/31/2012,63.97
8/31/2012,64.88
9/30/2012,62.99
10/31/2012,64.09
11/30/2012,64.1
12/31/2012,66.81
1/31/2013,67.54
2/28/2013,70.09
3/31/2013,71.57
4/30/2013,72.95
5/31/2013,71.43
6/30/2013,75.39
7/31/2013,74.07
8/31/2013,77.36
9/30/2013,80.77
10/31/2013,82.99
11/30/2013,85.35
12/31/2013,82.87
1/31/2014,87.12
2/28/2014,86.22
3/31/2014,86.28
4/30/2014,88.9
5/31/2014,90.59
6/30/2014,89.23
7/31/2014,93.25
