Date,Adj Close
6/1/2000,39.98
7/3/2000,39.93
8/1/2000,42.31
9/1/2000,42.47
10/2/2000,43.57
11/1/2000,41.92
12/1/2000,44.06
1/2/2001,44.09
2/1/2001,42.9
3/1/2001,41.31
4/2/2001,43.41
5/1/2001,44.37
6/1/2001,43.29
7/2/2001,43.38
8/1/2001,41.59
9/4/2001,38.44
10/1/2001,38.36
11/1/2001,40.5
12/3/2001,41.32
1/2/2002,41.07
2/1/2002,41.28
3/1/2002,43.23
4/1/2002,41.63
5/1/2002,41.64
6/3/2002,39.23
7/1/2002,35.8
8/1/2002,35.93
9/3/2002,31.98
10/1/2002,34.45
11/1/2002,36.65
12/2/2002,34.88
1/2/2003,34.01
2/3/2003,33.28
3/3/2003,33.19
4/1/2003,36.1
5/1/2003,38.52
6/2/2003,38.86
7/1/2003,39.52
8/1/2003,40.1
9/2/2003,39.71
10/1/2003,42.22
11/3/2003,42.68
12/1/2003,45.6
1/2/2004,46.38
2/2/2004,47.38
3/1/2004,47.03
4/1/2004,45.71
5/3/2004,46.16
6/1/2004,47.37
7/1/2004,46.77
8/2/2004,47.35
9/1/2004,48.01
10/1/2004,48.75
11/1/2004,51.21
12/1/2004,52.95
1/3/2005,52.03
2/1/2005,53.81
3/1/2005,52.93
4/1/2005,52.01
5/2/2005,53.25
6/1/2005,53.82
7/1/2005,55.48
8/1/2005,55.21
9/1/2005,55.94
10/3/2005,54.31
11/1/2005,56.38
12/1/2005,56.47
1/3/2006,58.57
2/1/2006,59.17
3/1/2006,60.13
4/3/2006,61.5
5/1/2006,60.01
6/1/2006,60.31
7/3/2006,61.75
8/1/2006,62.69
9/1/2006,64.06
10/2/2006,66.04
11/1/2006,67.58
12/1/2006,69.17
1/3/2007,69.97
2/1/2007,68.93
3/1/2007,69.91
4/2/2007,72.5
5/1/2007,75.08
6/1/2007,73.34
7/2/2007,69.69
8/1/2007,70.72
9/4/2007,73.1
10/1/2007,73.19
11/1/2007,69.66
12/3/2007,68.66
1/2/2008,65.89
2/1/2008,63.33
3/3/2008,63.26
4/1/2008,65.9
5/1/2008,65.74
6/2/2008,59.47
7/1/2008,59.27
8/1/2008,60.26
9/2/2008,55.8
10/1/2008,46.32
11/3/2008,42.86
12/1/2008,43.62
1/2/2009,38.57
2/2/2009,33.49
3/2/2009,36.24
4/1/2009,40.08
5/1/2009,42.76
6/1/2009,42.32
7/1/2009,45.63
8/3/2009,48.11
9/1/2009,49.93
10/1/2009,48.33
11/2/2009,51.1
12/1/2009,51.96
1/4/2010,50.49
2/1/2010,52.03
3/1/2010,55.52
4/1/2010,56.97
5/3/2010,52.3
6/1/2010,49.29
7/1/2010,52.64
8/2/2010,50.42
9/1/2010,54.26
10/1/2010,55.94
11/1/2010,55.6
12/1/2010,60.01
1/3/2011,61.31
2/1/2011,63.63
3/1/2011,63.81
4/1/2011,65.47
5/2/2011,64.81
6/1/2011,63.45
7/1/2011,61.29
8/1/2011,57.53
9/1/2011,53.19
10/3/2011,59.28
11/1/2011,58.86
12/1/2011,60.08
1/3/2012,62.38
2/1/2012,64.66
3/1/2012,66.67
4/2/2012,66.02
5/1/2012,62.2
6/1/2012,65.28
7/2/2012,65.85
8/1/2012,67.35
9/4/2012,69.47
10/1/2012,69.1
11/1/2012,69.05
12/3/2012,70.58
1/2/2013,75.07
2/1/2013,75.99
3/1/2013,79.05
4/1/2013,80.24
5/1/2013,82.38
6/3/2013,81.6
7/1/2013,86.02
8/1/2013,82.72
9/3/2013,84.83
10/1/2013,88.54
11/1/2013,90.96
12/2/2013,93.22
1/2/2014,89.88
2/3/2014,93.73
3/3/2014,96.01
4/1/2014,96.88
5/1/2014,98.24
6/2/2014,100.75
7/1/2014,99.03
8/1/2014,102.64
,
