Date,Adj Close
5/31/2000,11.77
6/30/2000,10.96
7/31/2000,12.3
8/31/2000,11.66
9/30/2000,11.76
10/31/2000,10.01
11/30/2000,10.36
12/31/2000,10.37
1/31/2001,9.5
2/28/2001,9.01
3/31/2001,9.9
4/30/2001,10.01
5/31/2001,10.33
6/30/2001,10.1
7/31/2001,9.79
8/31/2001,8.55
9/30/2001,9.08
10/31/2001,9.67
11/30/2001,10.27
12/31/2001,10.25
1/31/2002,9.93
2/28/2002,10.63
3/31/2002,10.78
4/30/2002,10.29
5/31/2002,9.68
6/30/2002,8.53
7/31/2002,8.7
8/31/2002,8.26
9/30/2002,8.62
10/31/2002,9.19
11/30/2002,8.71
12/31/2002,8.5
1/31/2003,8.28
2/28/2003,8.44
3/31/2003,9.03
4/30/2003,9.82
5/31/2003,10.03
6/30/2003,10.66
7/31/2003,11.32
8/31/2003,11.02
9/30/2003,12.02
10/31/2003,12.46
11/30/2003,12.51
12/31/2003,13.15
1/31/2004,13.19
2/29/2004,13.27
3/31/2004,12.73
4/30/2004,13.01
5/31/2004,13.41
6/30/2004,12.29
7/31/2004,12.02
8/31/2004,12.65
9/30/2004,13.01
10/31/2004,13.92
11/30/2004,14.52
12/31/2004,14.02
1/31/2005,14.29
2/28/2005,13.91
3/31/2005,13.15
4/30/2005,14.08
5/31/2005,14.52
6/30/2005,15.51
7/31/2005,15.32
8/31/2005,15.45
9/30/2005,14.92
10/31/2005,15.73
11/30/2005,15.78
12/31/2005,17.13
1/31/2006,17.06
2/28/2006,17.87
3/31/2006,17.87
4/30/2006,16.81
5/31/2006,16.67
6/30/2006,15.79
7/31/2006,16.13
8/31/2006,16.28
9/30/2006,17.2
10/31/2006,17.74
11/30/2006,17.66
12/31/2006,18.14
1/31/2007,18.21
2/28/2007,18.54
3/31/2007,19.19
4/30/2007,20.18
5/31/2007,20.03
6/30/2007,19.16
7/31/2007,19.4
8/31/2007,20.03
9/30/2007,20.79
10/31/2007,19.38
11/30/2007,19.36
12/31/2007,17.66
1/31/2008,17.3
2/29/2008,17.1
3/31/2008,18.21
4/30/2008,19.35
5/31/2008,18.12
6/30/2008,18.03
7/31/2008,18.47
8/31/2008,16.12
9/30/2008,12.55
10/31/2008,10.98
11/30/2008,11.62
12/31/2008,10.75
1/31/2009,9.66
2/28/2009,10.58
3/31/2009,12.39
4/30/2009,12.88
5/31/2009,13.19
6/30/2009,14.33
7/31/2009,14.73
8/31/2009,15.79
9/30/2009,14.7
10/31/2009,15.13
11/30/2009,16.48
12/31/2009,15.88
1/31/2010,16.62
2/28/2010,17.97
3/31/2010,18.86
4/30/2010,17.44
5/31/2010,16.19
6/30/2010,17.31
7/31/2010,16.18
8/31/2010,18.39
9/30/2010,19.22
10/31/2010,19.96
11/30/2010,21.53
12/31/2010,21.76
1/31/2011,23.08
2/28/2011,23.82
3/31/2011,24.66
4/30/2011,24.18
5/31/2011,23.71
6/30/2011,22.77
7/31/2011,20.84
8/31/2011,18.46
9/30/2011,21.45
10/31/2011,21.31
11/30/2011,21.2
12/31/2011,22.7
1/31/2012,23.58
2/29/2012,24.12
3/31/2012,23.89
4/30/2012,22.15
5/31/2012,23.2
6/30/2012,22.9
7/31/2012,23.82
8/31/2012,24.44
9/30/2012,23.87
10/31/2012,24.23
11/30/2012,24.91
12/31/2012,26.43
1/31/2013,26.68
2/28/2013,27.97
3/31/2013,27.84
4/30/2013,29.03
5/31/2013,28.8
6/30/2013,30.72
7/31/2013,30.12
8/31/2013,31.97
9/30/2013,32.78
10/31/2013,33.55
11/30/2013,34.37
12/31/2013,33.97
1/31/2014,35.71
2/28/2014,34.91
3/31/2014,33.6
4/30/2014,33.83
5/31/2014,35.79
6/30/2014,33.93
7/31/2014,35.55
