Date,Adj Close
6/1/2000,7.92
7/3/2000,8.08
8/1/2000,8.55
9/1/2000,8.54
10/2/2000,8.59
11/1/2000,8.03
12/1/2000,8.85
1/2/2001,9.55
2/1/2001,9.16
3/1/2001,8.37
4/2/2001,8.88
5/1/2001,9.11
6/1/2001,9.47
7/2/2001,9.39
8/1/2001,9.24
9/4/2001,7.91
10/1/2001,8.29
11/1/2001,8.95
12/3/2001,9.43
1/2/2002,9.62
2/1/2002,9.58
3/1/2002,10.17
4/1/2002,10.58
5/1/2002,10.18
6/3/2002,9.75
7/1/2002,8.17
8/1/2002,8.16
9/3/2002,7.55
10/1/2002,7.71
11/1/2002,8.25
12/2/2002,7.82
1/2/2003,7.49
2/3/2003,7.22
3/3/2003,7.2
4/1/2003,7.85
5/1/2003,8.44
6/2/2003,8.6
7/1/2003,8.99
8/1/2003,9.29
9/2/2003,9.23
10/1/2003,9.89
11/3/2003,10.28
12/1/2003,10.54
1/2/2004,10.84
2/2/2004,11.11
3/1/2004,11.31
4/1/2004,10.69
5/3/2004,10.87
6/1/2004,11.42
7/1/2004,11.01
8/2/2004,11.18
9/1/2004,11.54
10/1/2004,11.73
11/1/2004,12.68
12/1/2004,12.83
1/3/2005,12.36
2/1/2005,12.64
3/1/2005,12.41
4/1/2005,11.94
5/2/2005,12.57
6/1/2005,13.07
7/1/2005,13.81
8/1/2005,13.52
9/1/2005,13.6
10/3/2005,13.18
11/1/2005,13.69
12/1/2005,13.38
1/3/2006,14.33
2/1/2006,14.35
3/1/2006,14.85
4/3/2006,14.86
5/1/2006,14.29
6/1/2006,14.46
7/3/2006,14.25
8/1/2006,14.58
9/1/2006,14.72
10/2/2006,15.42
11/1/2006,15.89
12/1/2006,15.67
1/3/2007,15.98
2/1/2007,15.89
3/1/2007,15.98
4/2/2007,16.27
5/1/2007,16.87
6/1/2007,16.45
7/2/2007,15.27
8/1/2007,15.49
9/4/2007,15.63
10/1/2007,15.84
11/1/2007,14.78
12/3/2007,14.24
1/2/2008,13.73
2/1/2008,13.29
3/3/2008,13.29
4/1/2008,13.89
5/1/2008,14.47
6/2/2008,12.8
7/1/2008,13.31
8/1/2008,13.83
9/2/2008,12.99
10/1/2008,10.26
11/3/2008,9.19
12/1/2008,9.37
1/2/2009,8.15
2/2/2009,7.02
3/2/2009,7.66
4/1/2009,9.19
5/1/2009,9.51
6/1/2009,9.5
7/1/2009,10.52
8/3/2009,11.16
9/1/2009,11.78
10/1/2009,11.03
11/2/2009,11.44
12/1/2009,12
1/4/2010,11.63
2/1/2010,12.24
3/1/2010,13.23
4/1/2010,14.04
5/3/2010,12.92
6/1/2010,11.88
7/1/2010,12.77
8/2/2010,11.92
9/1/2010,13.15
10/1/2010,13.63
11/1/2010,13.94
12/1/2010,15
1/3/2011,15.1
2/1/2011,15.8
3/1/2011,16.05
4/1/2011,16.43
5/2/2011,16.08
6/1/2011,15.75
7/1/2011,15.21
8/1/2011,13.98
9/1/2011,12.49
10/3/2011,14.29
11/1/2011,14.26
12/1/2011,14.41
1/3/2012,15.39
2/1/2012,15.78
3/1/2012,16.15
4/2/2012,16.01
5/1/2012,15
6/1/2012,15.64
7/2/2012,15.59
8/1/2012,16.05
9/4/2012,16.51
10/1/2012,16.41
11/1/2012,16.55
12/3/2012,17.1
1/2/2013,18.22
2/1/2013,18.54
3/1/2013,19.38
4/1/2013,19.37
5/1/2013,19.98
6/3/2013,19.74
7/1/2013,21.07
8/1/2013,20.18
9/3/2013,21.25
10/1/2013,22.09
11/1/2013,22.74
12/2/2013,23.36
1/2/2014,22.71
2/3/2014,23.85
3/3/2014,24.17
4/1/2014,23.9
5/1/2014,24.28
6/2/2014,25.33
7/1/2014,24.13
8/1/2014,25.38
,
